Using device: cuda
[Seed 2] Epoch 017/100 | train_loss=0.2036 | val_loss=0.2410 | val_acc=0.9154
[Seed 2] Epoch 018/100 | train_loss=0.2001 | val_loss=0.2379 | val_acc=0.9162
[Seed 2] Epoch 019/100 | train_loss=0.1958 | val_loss=0.2376 | val_acc=0.9164
[Seed 2] Epoch 020/100 | train_loss=0.1924 | val_loss=0.2375 | val_acc=0.9147
[Seed 2] Epoch 021/100 | train_loss=0.1875 | val_loss=0.2362 | val_acc=0.9186
[Seed 2] Epoch 022/100 | train_loss=0.1840 | val_loss=0.2322 | val_acc=0.9167
[Seed 2] Epoch 023/100 | train_loss=0.1804 | val_loss=0.2289 | val_acc=0.9192
[Seed 2] Epoch 024/100 | train_loss=0.1784 | val_loss=0.2296 | val_acc=0.9192
[Seed 2] Epoch 025/100 | train_loss=0.1726 | val_loss=0.2296 | val_acc=0.9182
[Seed 2] Epoch 026/100 | train_loss=0.1700 | val_loss=0.2323 | val_acc=0.9178
[Seed 2] Epoch 027/100 | train_loss=0.1675 | val_loss=0.2284 | val_acc=0.9211
[Seed 2] Epoch 028/100 | train_loss=0.1638 | val_loss=0.2281 | val_acc=0.9196
[Seed 2] Epoch 029/100 | train_loss=0.1602 | val_loss=0.2264 | val_acc=0.9213
[Seed 2] Epoch 030/100 | train_loss=0.1579 | val_loss=0.2263 | val_acc=0.9200
[Seed 2] Epoch 031/100 | train_loss=0.1541 | val_loss=0.2337 | val_acc=0.9193
[Seed 2] Epoch 032/100 | train_loss=0.1520 | val_loss=0.2298 | val_acc=0.9178
[Seed 2] Epoch 033/100 | train_loss=0.1495 | val_loss=0.2286 | val_acc=0.9191
[Seed 2] Epoch 034/100 | train_loss=0.1445 | val_loss=0.2259 | val_acc=0.9221
[Seed 2] Epoch 035/100 | train_loss=0.1433 | val_loss=0.2247 | val_acc=0.9225
[Seed 2] Epoch 036/100 | train_loss=0.1392 | val_loss=0.2286 | val_acc=0.9222
[Seed 2] Epoch 037/100 | train_loss=0.1365 | val_loss=0.2284 | val_acc=0.9208
[Seed 2] Epoch 038/100 | train_loss=0.1349 | val_loss=0.2279 | val_acc=0.9209
[Seed 2] Epoch 039/100 | train_loss=0.1318 | val_loss=0.2251 | val_acc=0.9245
[Seed 2] Epoch 040/100 | train_loss=0.1311 | val_loss=0.2289 | val_acc=0.9236
[Seed 2] Epoch 041/100 | train_loss=0.1274 | val_loss=0.2313 | val_acc=0.9204
[Seed 2] Epoch 042/100 | train_loss=0.1252 | val_loss=0.2295 | val_acc=0.9209
[Seed 2] Epoch 043/100 | train_loss=0.1230 | val_loss=0.2296 | val_acc=0.9211
[Seed 2] Epoch 044/100 | train_loss=0.1203 | val_loss=0.2269 | val_acc=0.9232
[Seed 2] Epoch 045/100 | train_loss=0.1182 | val_loss=0.2298 | val_acc=0.9228
[Seed 2] Epoch 046/100 | train_loss=0.1156 | val_loss=0.2343 | val_acc=0.9236
[Seed 2] Epoch 047/100 | train_loss=0.1146 | val_loss=0.2339 | val_acc=0.9220
[Seed 2] Epoch 048/100 | train_loss=0.1126 | val_loss=0.2338 | val_acc=0.9222
[Seed 2] Epoch 049/100 | train_loss=0.1104 | val_loss=0.2333 | val_acc=0.9232
[Seed 2] Epoch 050/100 | train_loss=0.1091 | val_loss=0.2343 | val_acc=0.9226
[Seed 2] Epoch 051/100 | train_loss=0.1056 | val_loss=0.2327 | val_acc=0.9232
[Seed 2] Epoch 052/100 | train_loss=0.1044 | val_loss=0.2357 | val_acc=0.9212
[Seed 2] Epoch 053/100 | train_loss=0.1036 | val_loss=0.2320 | val_acc=0.9234
[Seed 2] Epoch 054/100 | train_loss=0.1005 | val_loss=0.2340 | val_acc=0.9232
[Seed 2] Epoch 055/100 | train_loss=0.1001 | val_loss=0.2364 | val_acc=0.9212
[Seed 2] Epoch 056/100 | train_loss=0.0991 | val_loss=0.2357 | val_acc=0.9213
[Seed 2] Epoch 057/100 | train_loss=0.0966 | val_loss=0.2349 | val_acc=0.9225
[Seed 2] Epoch 058/100 | train_loss=0.0951 | val_loss=0.2344 | val_acc=0.9217
[Seed 2] Epoch 059/100 | train_loss=0.0934 | val_loss=0.2380 | val_acc=0.9234
[Seed 2] Epoch 060/100 | train_loss=0.0925 | val_loss=0.2352 | val_acc=0.9221
[Seed 2] Epoch 061/100 | train_loss=0.0912 | val_loss=0.2375 | val_acc=0.9226
[Seed 2] Epoch 062/100 | train_loss=0.0898 | val_loss=0.2367 | val_acc=0.9213
[Seed 2] Epoch 063/100 | train_loss=0.0886 | val_loss=0.2361 | val_acc=0.9229
[Seed 2] Epoch 064/100 | train_loss=0.0882 | val_loss=0.2355 | val_acc=0.9226
[Seed 2] Epoch 065/100 | train_loss=0.0865 | val_loss=0.2386 | val_acc=0.9222
[Seed 2] Epoch 066/100 | train_loss=0.0853 | val_loss=0.2382 | val_acc=0.9230
[Seed 2] Epoch 067/100 | train_loss=0.0844 | val_loss=0.2397 | val_acc=0.9218
[Seed 2] Epoch 068/100 | train_loss=0.0839 | val_loss=0.2403 | val_acc=0.9204
[Seed 2] Epoch 069/100 | train_loss=0.0828 | val_loss=0.2382 | val_acc=0.9220
[Seed 2] Epoch 070/100 | train_loss=0.0814 | val_loss=0.2392 | val_acc=0.9214
[Seed 2] Epoch 071/100 | train_loss=0.0814 | val_loss=0.2397 | val_acc=0.9220
[Seed 2] Epoch 072/100 | train_loss=0.0801 | val_loss=0.2388 | val_acc=0.9221
[Seed 2] Epoch 073/100 | train_loss=0.0796 | val_loss=0.2403 | val_acc=0.9226
[Seed 2] Epoch 074/100 | train_loss=0.0788 | val_loss=0.2401 | val_acc=0.9218
[Seed 2] Epoch 075/100 | train_loss=0.0784 | val_loss=0.2423 | val_acc=0.9216
[Seed 2] Epoch 076/100 | train_loss=0.0775 | val_loss=0.2415 | val_acc=0.9237
[Seed 2] Epoch 077/100 | train_loss=0.0768 | val_loss=0.2407 | val_acc=0.9216
[Seed 2] Epoch 078/100 | train_loss=0.0765 | val_loss=0.2418 | val_acc=0.9225
[Seed 2] Epoch 079/100 | train_loss=0.0760 | val_loss=0.2411 | val_acc=0.9222
[Seed 2] Epoch 080/100 | train_loss=0.0754 | val_loss=0.2409 | val_acc=0.9217
[Seed 2] Epoch 081/100 | train_loss=0.0750 | val_loss=0.2422 | val_acc=0.9220
[Seed 2] Epoch 082/100 | train_loss=0.0745 | val_loss=0.2434 | val_acc=0.9228
[Seed 2] Epoch 083/100 | train_loss=0.0743 | val_loss=0.2420 | val_acc=0.9220
